Country,Current_Weather,Current_Temperature(F),Date
Benin,Passing clouds.,88,05/05/2023
Burkina-Faso,Partly sunny.,89,05/05/2023
Cape-Verde,Passing clouds.,74,05/05/2023
Cote-Divoire,Partly sunny.,80,05/05/2023
Gambia,Sunny.,88,05/05/2023
Ghana,Scattered clouds.,88,05/05/2023
Guinea,Scattered clouds.,90,05/05/2023
Guinea-Bissau,Clear.,91,05/05/2023
Liberia,Partly sunny.,90,05/05/2023
Mali,Sunny.,88,05/05/2023
Mauritania,Sunny.,100,05/05/2023
Niger,Sunny.,95,05/05/2023
Nigeria,Overcast.,80,05/05/2023
Senegal,Sunny.,81,05/05/2023
Sierra-Leone,Partly sunny.,84,05/05/2023
Togo,Passing clouds.,90,05/05/2023
Benin,Scattered clouds.,90,06/05/2023
Burkina-Faso,Partly sunny.,87,06/05/2023
Cape-Verde,Partly sunny.,78,06/05/2023
Cote-Divoire,Scattered clouds.,84,06/05/2023
Gambia,Sunny.,88,06/05/2023
Ghana,Partly sunny.,88,06/05/2023
Guinea,Broken clouds.,88,06/05/2023
Guinea-Bissau,Passing clouds.,86,06/05/2023
Liberia,Partly sunny.,88,06/05/2023
Mali,Passing clouds.,100,06/05/2023
Mauritania,Sunny.,99,06/05/2023
Niger,Passing clouds.,100,06/05/2023
Nigeria,Scattered clouds.,84,06/05/2023
Senegal,Passing clouds.,79,06/05/2023
Sierra-Leone,Partly sunny.,84,06/05/2023
Togo,Passing clouds.,90,06/05/2023
Benin,Scattered clouds.,90,07/05/2023
Burkina-Faso,Scattered clouds.,90,07/05/2023
Cape-Verde,Passing clouds.,71,07/05/2023
Cote-Divoire,Overcast.,74,07/05/2023
Gambia,Sunny.,84,07/05/2023
Ghana,Partly sunny.,86,07/05/2023
Guinea,Scattered clouds.,90,07/05/2023
Guinea-Bissau,Clear.,88,07/05/2023
Liberia,Thunderstorms. Partly sunny.,86,07/05/2023
Mali,Passing clouds.,95,07/05/2023
Mauritania,Sunny.,91,07/05/2023
Niger,Sunny.,100,07/05/2023
Nigeria,Overcast.,88,07/05/2023
Senegal,Scattered clouds.,77,07/05/2023
Sierra-Leone,Partly sunny.,77,07/05/2023
Togo,Scattered clouds.,88,07/05/2023
Benin,Scattered clouds.,88,08/05/2023
Burkina-Faso,Partly sunny.,88,08/05/2023
Cape-Verde,Passing clouds.,72,08/05/2023
Cote-Divoire,Partly sunny.,81,08/05/2023
Gambia,Clear.,84,08/05/2023
Ghana,Scattered clouds.,88,08/05/2023
Guinea,Partly sunny.,88,08/05/2023
Guinea-Bissau,Clear.,88,08/05/2023
Liberia,Scattered clouds.,88,08/05/2023
Mali,Thunderstorms. Scattered clouds.,73,08/05/2023
Mauritania,Sunny.,100,08/05/2023
Niger,Passing clouds.,97,08/05/2023
Nigeria,Overcast.,85,08/05/2023
Senegal,Sunny.,79,08/05/2023
Sierra-Leone,Scattered clouds.,81,08/05/2023
Togo,Passing clouds.,90,08/05/2023
